iter	Passed	Remaining
0	1	153
1	2	136
2	3	125
3	4	117
4	6	115
5	7	114
6	8	113
7	26	302
8	27	279
9	29	262
10	30	247
11	32	236
12	33	225
13	34	214
14	36	204
15	37	196
16	38	188
17	40	184
18	42	181
19	44	176
20	45	170
21	46	164
22	47	159
23	48	154
24	49	149
25	51	146
26	52	141
27	53	138
28	55	134
29	57	133
30	58	131
31	61	130
32	62	126
33	63	123
34	64	120
35	65	116
36	67	114
37	68	111
38	69	108
39	71	106
40	72	104
41	73	100
42	74	98
43	75	96
44	76	93
45	77	91
46	79	89
47	80	87
48	82	85
49	83	83
50	84	81
51	86	80
52	88	78
53	89	76
54	90	74
55	92	72
56	93	70
57	94	68
58	95	66
59	97	64
60	98	62
61	99	60
62	101	59
63	103	58
64	104	56
65	105	54
66	106	52
67	108	50
68	109	49
69	110	47
70	111	45
71	113	43
72	114	42
73	116	40
74	117	39
75	119	37
76	121	36
77	122	34
78	124	33
79	125	31
80	126	29
81	127	28
82	129	26
83	131	24
84	132	23
85	133	21
86	134	20
87	136	18
88	137	17
89	138	15
90	140	13
91	141	12
92	142	10
93	144	9
94	145	7
95	147	6
96	149	4
97	150	3
98	152	1
99	153	0
